User,AllocNodes,AllocCPUS,Elapsed,
,1,1,00:00:46,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:45,
,1,1,00:00:45,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:43,
,1,1,00:00:43,
oakif,1,1,00:00:42,
,1,1,00:00:42,
oakif,1,1,00:00:46,
,1,1,00:00:46,
oakif,1,1,00:00:40,
,1,1,00:00:40,
oakif,1,1,00:00:39,
,1,1,00:00:39,
oakif,1,1,00:00:41,
,1,1,00:00:41,
oakif,1,1,00:00:41,
,1,1,00:00:41,
